形而上学,在马克思主义哲学语境下，指用孤立、静止、片面的观点看待世界的思维方式。
唯我论,一种极端的唯心主义观点，认为世界上只有自我的意识是真实存在的，外部世界只是意识的产物。
决定论,主张自然界和人类社会的一切现象都受到必然的因果律支配，预设了事物的未来状态可以由过去的状态推导。
诡辩论,通过混淆概念、玩弄逻辑技巧或歪曲事实，为逻辑上错误或虚假的观点进行表面化辩护的思维手段。
机械唯物主义,主张将万物的运动归结为物理机械运动，通常否认意识的能动作用以及事物发展的质变规律。
实证主义,强调感官经验和观察事实是知识的唯一来源，主张科学应当描述现象而非探索深层的形而上学本质。
异化,指主体在发展过程中创造出的产物演变为一种异己的力量，反过来束缚或统治主体自身的现象。
价值中立,主张研究者在科学探索过程中应当严格区分事实陈述与价值判断，避免个人主观立场干预客观结论。
怀疑论,对人类获取绝对真理的可能性持保留或否定态度的哲学立场，认为一切知识都应当接受系统的质疑。
逻各斯,古希腊哲学中代表宇宙普遍理性、内在规律与客观秩序的核心概念。
存在主义,强调个体的存在先于其本质，主张人通过自身的自由选择与行动来定义自己的生命意义。
经验论,主张人类的一切认识都起源于感官经验，认为心灵在感知外部世界之前是一张白纸。
先验,指独立于经验之外、作为认识发生之前提条件的先天认知框架或逻辑范畴。
现象学,主张通过悬置一切既有偏见，直接考察事物显现于意识中的本质特征与结构。
辩证法,主张以联系的、发展的、矛盾的观点看待世界，强调事物内部矛盾是推动其演化的动力。
功利主义,主张以行为产生的实际结果作为道德判断标准，追求“最大多数人的最大幸福”。
虚无主义,否定生命具有内在目的、普遍真理或绝对价值，认为世界本质上缺乏统一的意义指向。
结构主义,认为个别事物的意义取决于它在整个社会文化系统或语言框架中所处的相对位置。
还原论,主张将复杂的系统或现象拆解为最基本的组成单元进行解释，认为整体的性质可以通过部分之和来推导。
实践,人类能动地改造客观世界的物质性活动，是认识的基础、动力与最终目的。
主体性,人在认识与实践过程中表现出的自主选择、主动参与及创造性地作用于客体的能力。
实在论,主张外部世界是独立于人的感知和意识而客观存在的，物质实体不随观测者的改变而消失。
唯意志论,认为宇宙的本质是某种盲目的、无理性的意志力，否定理性和客观规律在世界发展中的主导作用。
通识,旨在培养跨学科素养、思辨能力与人文情怀的博雅教育模式。
工具理性,关注达成目的之手段的效率与可行性，有时会忽略目的本身的正当性或伦理价值。
绝对精神,黑格尔哲学中指代宇宙发展的最高阶段，是融合了自然与人类社会所有规律的普遍意识。
真理的相对性,指人类在特定历史阶段对客观世界的认识具有局限性，需要在实践中不断深化与完善。
自由意志,个体基于理性的思考，在多种可能的行动方案中做出自主选择的能力。
世界观,人们对整个世界以及人与世界关系的总的看法和根本观点。
范畴,对事物本质属性进行最高程度概括的基本哲学概念，如因果、必然、偶然等。
